Variable QN: i, j, s
1000000, Acelga Fresca, 10, 13
0, Acelga Fresca, 10, 14
1000000, Acelga Fresca, 10, 15
0, Acelga Fresca, 10, 16
0, Acelga Fresca, 10, 17
0, Acelga Fresca, 10, 18
0, Acelga Fresca, 10, 19
64477, Acelga Fresca, 11, 1
0, Acelga Fresca, 11, 2
47727, Acelga Fresca, 11, 3
0, Acelga Fresca, 11, 4
1000000, Acelga Fresca, 11, 5
0, Acelga Fresca, 11, 6
1000000, Acelga Fresca, 11, 7
0, Acelga Fresca, 11, 8
0, Acelga Fresca, 11, 9
1000000, Acelga Fresca, 11, 10
0, Acelga Fresca, 11, 11
0, Acelga Fresca, 11, 12
0, Acelga Fresca, 11, 13
0, Acelga Fresca, 11, 14
0, Acelga Fresca, 11, 15
0, Acelga Fresca, 11, 16
0, Acelga Fresca, 11, 17
0, Acelga Fresca, 11, 18
0, Acelga Fresca, 11, 19
1000000, Acelga Fresca, 12, 1
0, Acelga Fresca, 12, 2
82416, Acelga Fresca, 12, 3
0, Acelga Fresca, 12, 4
0, Acelga Fresca, 12, 5
0, Acelga Fresca, 12, 6
1000000, Acelga Fresca, 12, 7
0, Acelga Fresca, 12, 8
0, Acelga Fresca, 12, 9
1000000, Acelga Fresca, 12, 10
0, Acelga Fresca, 12, 11
0, Acelga Fresca, 12, 12
1000000, Acelga Fresca, 12, 13
0, Acelga Fresca, 12, 14
0, Acelga Fresca, 12, 15
0, Acelga Fresca, 12, 16
1000000, Acelga Fresca, 12, 17
0, Acelga Fresca, 12, 18
0, Acelga Fresca, 12, 19
1000000, Acelga Fresca, 13, 1
0, Acelga Fresca, 13, 2
64477, Acelga Fresca, 13, 3
0, Acelga Fresca, 13, 4
104399, Acelga Fresca, 13, 5
0, Acelga Fresca, 13, 6
1064477, Acelga Fresca, 13, 7
1000000, Acelga Fresca, 13, 8
0, Acelga Fresca, 13, 9
1000000, Acelga Fresca, 13, 10
0, Acelga Fresca, 13, 11
0, Acelga Fresca, 13, 12
48356, Acelga Fresca, 13, 13
0, Acelga Fresca, 13, 14
0, Acelga Fresca, 13, 15
1000000, Acelga Fresca, 13, 16
308502, Acelga Fresca, 13, 17
0, Acelga Fresca, 13, 18
0, Acelga Fresca, 13, 19
0, Acelga Fresca, 14, 1
1000000, Acelga Fresca, 14, 2
0, Acelga Fresca, 14, 3
0, Acelga Fresca, 14, 4
1000000, Acelga Fresca, 14, 5
0, Acelga Fresca, 14, 6
1000000, Acelga Fresca, 14, 7
0, Acelga Fresca, 14, 8
0, Acelga Fresca, 14, 9
0, Acelga Fresca, 14, 10
0, Acelga Fresca, 14, 11
0, Acelga Fresca, 14, 12
1000000, Acelga Fresca, 14, 13
0, Acelga Fresca, 14, 14
0, Acelga Fresca, 14, 15
0, Acelga Fresca, 14, 16
1000000, Acelga Fresca, 14, 17
1000000, Acelga Fresca, 14, 18
0, Acelga Fresca, 14, 19
0, Acelga Fresca, 15, 1
0, Acelga Fresca, 15, 2
0, Acelga Fresca, 15, 3
0, Acelga Fresca, 15, 4
0, Acelga Fresca, 15, 5
0, Acelga Fresca, 15, 6
0, Acelga Fresca, 15, 7
0, Acelga Fresca, 15, 8
0, Acelga Fresca, 15, 9
1000000, Acelga Fresca, 15, 10
1000000, Acelga Fresca, 15, 11
0, Acelga Fresca, 15, 12
0, Acelga Fresca, 15, 13
0, Acelga Fresca, 15, 14
0, Acelga Fresca, 15, 15
64477, Acelga Fresca, 15, 16
0, Acelga Fresca, 15, 17
0, Acelga Fresca, 15, 18
1000000, Acelga Fresca, 15, 19
1000000, Acelga Fresca, 16, 1
0, Acelga Fresca, 16, 2
0, Acelga Fresca, 16, 3
0, Acelga Fresca, 16, 4
1000000, Acelga Fresca, 16, 5
0, Acelga Fresca, 16, 6
0, Acelga Fresca, 16, 7
1000000, Acelga Fresca, 16, 8
0, Acelga Fresca, 16, 9
0, Acelga Fresca, 16, 10
0, Acelga Fresca, 16, 11
0, Acelga Fresca, 16, 12
0, Acelga Fresca, 16, 13
0, Acelga Fresca, 16, 14
0, Acelga Fresca, 16, 15
0, Acelga Fresca, 16, 16
0, Acelga Fresca, 16, 17
